kernel,matrix,backend,format,m,saad_tol,saad_estimate,rel_l2_vs_faer,norm_y,status
lanczos_one_pass,kron_g500-logn18,faer,csc,7,1.00000000000000004e-10,1.23926545005586469e-11,0.00000000000000000e0,2.95367792042031340e2,ok
lanczos_one_pass,kron_g500-logn18,faer,csr,7,1.00000000000000004e-10,1.23926545005586469e-11,1.03645982179010616e-15,2.95367792042031624e2,ok
lanczos_one_pass,kron_g500-logn18,eigen,csr,7,1.00000000000000004e-10,1.23926545005586469e-11,8.31910087306054924e-16,2.95367792042031283e2,ok
lanczos_one_pass,kron_g500-logn18,eigen,csc,7,1.00000000000000004e-10,1.23926545005586469e-11,7.80880764405081969e-16,2.95367792042031567e2,ok
lanczos_one_pass,kron_g500-logn18,petsc,csr,7,1.00000000000000004e-10,1.23926545005586469e-11,4.30831771048756178e-16,2.95367792042031226e2,ok
lanczos_one_pass,kron_g500-logn18,psblas,csr,7,1.00000000000000004e-10,1.23926545005586469e-11,4.13477692683917533e-16,2.95367792042031226e2,ok
lanczos_one_pass,kron_g500-logn18,psblas,csc,7,1.00000000000000004e-10,1.23926545005586469e-11,4.02068139195192699e-16,2.95367792042031226e2,ok
lanczos_two_pass,kron_g500-logn18,faer,csc,7,1.00000000000000004e-10,1.23926545005586469e-11,0.00000000000000000e0,2.95367792042031340e2,ok
lanczos_two_pass,kron_g500-logn18,faer,csr,7,1.00000000000000004e-10,1.23926545005586469e-11,1.03646460241272639e-15,2.95367792042031624e2,ok
lanczos_two_pass,kron_g500-logn18,eigen,csr,7,1.00000000000000004e-10,1.23926545005586469e-11,8.22570240309450342e-16,2.95367792042031283e2,ok
lanczos_two_pass,kron_g500-logn18,eigen,csc,7,1.00000000000000004e-10,1.23926545005586469e-11,7.30733289684209358e-16,2.95367792042031567e2,ok
lanczos_two_pass,kron_g500-logn18,petsc,csr,7,1.00000000000000004e-10,1.23926545005586469e-11,5.42835999306140817e-16,2.95367792042031169e2,ok
lanczos_two_pass,kron_g500-logn18,psblas,csr,7,1.00000000000000004e-10,1.23926545005586469e-11,4.12896530438909879e-16,2.95367792042031283e2,ok
lanczos_two_pass,kron_g500-logn18,psblas,csc,7,1.00000000000000004e-10,1.23926545005586469e-11,4.54119589606767774e-16,2.95367792042031226e2,ok
lanczos_one_pass,coPapersDBLP,faer,csc,11,1.00000000000000004e-10,3.95323401856483292e-12,0.00000000000000000e0,4.24315903199751972e2,ok
lanczos_one_pass,coPapersDBLP,faer,csr,11,1.00000000000000004e-10,3.95323401856483292e-12,1.23748714686052040e-15,4.24315903199752370e2,ok
lanczos_one_pass,coPapersDBLP,eigen,csr,11,1.00000000000000004e-10,3.95323401856483292e-12,8.30442560639524678e-16,4.24315903199752199e2,ok
lanczos_one_pass,coPapersDBLP,eigen,csc,11,1.00000000000000004e-10,3.95323401856483292e-12,1.36106531022265747e-15,4.24315903199752427e2,ok
lanczos_one_pass,coPapersDBLP,petsc,csr,11,1.00000000000000004e-10,3.95323401856483292e-12,4.52554580602545164e-16,4.24315903199752029e2,ok
lanczos_one_pass,coPapersDBLP,psblas,csr,11,1.00000000000000004e-10,3.95323401856483292e-12,4.67991971597019496e-16,4.24315903199751972e2,ok
lanczos_one_pass,coPapersDBLP,psblas,csc,11,1.00000000000000004e-10,3.95323401856483292e-12,5.89897192175756764e-16,4.24315903199752029e2,ok
lanczos_two_pass,coPapersDBLP,faer,csc,11,1.00000000000000004e-10,3.95323401856483292e-12,0.00000000000000000e0,4.24315903199751972e2,ok
lanczos_two_pass,coPapersDBLP,faer,csr,11,1.00000000000000004e-10,3.95323401856483292e-12,1.23749782908544031e-15,4.24315903199752370e2,ok
lanczos_two_pass,coPapersDBLP,eigen,csr,11,1.00000000000000004e-10,3.95323401856483292e-12,8.30172505623540292e-16,4.24315903199752199e2,ok
lanczos_two_pass,coPapersDBLP,eigen,csc,11,1.00000000000000004e-10,3.95323401856483292e-12,1.36957784933150414e-15,4.24315903199752427e2,ok
lanczos_two_pass,coPapersDBLP,petsc,csr,11,1.00000000000000004e-10,3.95323401856483292e-12,4.60288536528191205e-16,4.24315903199752029e2,ok
lanczos_two_pass,coPapersDBLP,psblas,csr,11,1.00000000000000004e-10,3.95323401856483292e-12,5.00090250990711341e-16,4.24315903199752029e2,ok
lanczos_two_pass,coPapersDBLP,psblas,csc,11,1.00000000000000004e-10,3.95323401856483292e-12,5.99115691653618855e-16,4.24315903199752086e2,ok
lanczos_one_pass,thermal2,faer,csc,11,1.00000000000000004e-10,1.87804498067070097e-11,0.00000000000000000e0,4.12762027468772885e2,ok
lanczos_one_pass,thermal2,faer,csr,11,1.00000000000000004e-10,1.87804498067070097e-11,8.38134894566973226e-16,4.12762027468773169e2,ok
lanczos_one_pass,thermal2,eigen,csr,11,1.00000000000000004e-10,1.87804498067070097e-11,1.29637236231722603e-15,4.12762027468772999e2,ok
lanczos_one_pass,thermal2,eigen,csc,11,1.00000000000000004e-10,1.87804498067070097e-11,1.08119126428152372e-15,4.12762027468773113e2,ok
lanczos_one_pass,thermal2,petsc,csr,11,1.00000000000000004e-10,1.87804498067070097e-11,9.37361679271384209e-16,4.12762027468772885e2,ok
lanczos_one_pass,thermal2,psblas,csr,11,1.00000000000000004e-10,1.87804498067070097e-11,1.07617369363402129e-15,4.12762027468772658e2,ok
lanczos_one_pass,thermal2,psblas,csc,11,1.00000000000000004e-10,1.87804498067070097e-11,9.76712354973345592e-16,4.12762027468773056e2,ok
lanczos_two_pass,thermal2,faer,csc,11,1.00000000000000004e-10,1.87804498067070097e-11,0.00000000000000000e0,4.12762027468772885e2,ok
lanczos_two_pass,thermal2,faer,csr,11,1.00000000000000004e-10,1.87804498067070097e-11,8.38218941712340958e-16,4.12762027468773169e2,ok
lanczos_two_pass,thermal2,eigen,csr,11,1.00000000000000004e-10,1.87804498067070097e-11,1.29660464089335101e-15,4.12762027468772999e2,ok
lanczos_two_pass,thermal2,eigen,csc,11,1.00000000000000004e-10,1.87804498067070097e-11,1.06124889781572821e-15,4.12762027468773113e2,ok
lanczos_two_pass,thermal2,petsc,csr,11,1.00000000000000004e-10,1.87804498067070097e-11,9.60354030937571224e-16,4.12762027468772885e2,ok
lanczos_two_pass,thermal2,psblas,csr,11,1.00000000000000004e-10,1.87804498067070097e-11,1.05111882254873841e-15,4.12762027468772715e2,ok
lanczos_two_pass,thermal2,psblas,csc,11,1.00000000000000004e-10,1.87804498067070097e-11,9.98282907777385771e-16,4.12762027468773113e2,ok
lanczos_one_pass,as-Skitter,faer,csc,11,1.00000000000000004e-10,2.58512994555674187e-11,0.00000000000000000e0,7.52610365678129142e2,ok
lanczos_one_pass,as-Skitter,faer,csr,11,1.00000000000000004e-10,2.58512994555674187e-11,1.18153191707507765e-15,7.52610365678129938e2,ok
lanczos_one_pass,as-Skitter,eigen,csr,11,1.00000000000000004e-10,2.58512994555674187e-11,7.60918976936653753e-16,7.52610365678129142e2,ok
lanczos_one_pass,as-Skitter,eigen,csc,11,1.00000000000000004e-10,2.58512994555674187e-11,1.04915787217319806e-15,7.52610365678128460e2,ok
lanczos_one_pass,as-Skitter,petsc,csr,11,1.00000000000000004e-10,2.58512994555674187e-11,1.91103305682038692e-15,7.52610365678127891e2,ok
lanczos_one_pass,as-Skitter,psblas,csr,11,1.00000000000000004e-10,2.58512994555674187e-11,1.65671216102708611e-15,7.52610365678128119e2,ok
lanczos_one_pass,as-Skitter,psblas,csc,11,1.00000000000000004e-10,2.58512994555674187e-11,1.52080172265590107e-15,7.52610365678128233e2,ok
lanczos_two_pass,as-Skitter,faer,csc,11,1.00000000000000004e-10,2.58512994555674187e-11,0.00000000000000000e0,7.52610365678129142e2,ok
lanczos_two_pass,as-Skitter,faer,csr,11,1.00000000000000004e-10,2.58512994555674187e-11,1.18152607828513907e-15,7.52610365678129938e2,ok
lanczos_two_pass,as-Skitter,eigen,csr,11,1.00000000000000004e-10,2.58512994555674187e-11,7.45547632954099978e-16,7.52610365678129028e2,ok
lanczos_two_pass,as-Skitter,eigen,csc,11,1.00000000000000004e-10,2.58512994555674187e-11,1.00818157776307196e-15,7.52610365678128574e2,ok
lanczos_two_pass,as-Skitter,petsc,csr,11,1.00000000000000004e-10,2.58512994555674187e-11,1.49945932581737511e-15,7.52610365678128346e2,ok
lanczos_two_pass,as-Skitter,psblas,csr,11,1.00000000000000004e-10,2.58512994555674187e-11,1.68850987553380553e-15,7.52610365678128119e2,ok
lanczos_two_pass,as-Skitter,psblas,csc,11,1.00000000000000004e-10,2.58512994555674187e-11,1.48961373930681932e-15,7.52610365678128233e2,ok
lanczos_one_pass,roadNet-CA,faer,csc,13,1.00000000000000004e-10,3.01899601037033142e-11,0.00000000000000000e0,9.21618918365822083e2,ok
lanczos_one_pass,roadNet-CA,faer,csr,13,1.00000000000000004e-10,3.01899601037033142e-11,1.03703724774118287e-15,9.21618918365821742e2,ok
lanczos_one_pass,roadNet-CA,eigen,csr,13,1.00000000000000004e-10,3.01899601037033142e-11,1.25104220033208215e-15,9.21618918365822537e2,ok
lanczos_one_pass,roadNet-CA,eigen,csc,13,1.00000000000000004e-10,3.01899601037033142e-11,9.81934666385103781e-16,9.21618918365822196e2,ok
lanczos_one_pass,roadNet-CA,petsc,csr,13,1.00000000000000004e-10,3.01899601037033142e-11,9.19383669208672812e-16,9.21618918365821855e2,ok
lanczos_one_pass,roadNet-CA,psblas,csr,13,1.00000000000000004e-10,3.01899601037033142e-11,1.08537315981669194e-15,9.21618918365821855e2,ok
lanczos_one_pass,roadNet-CA,psblas,csc,13,1.00000000000000004e-10,3.01899601037033142e-11,1.22326411745730915e-15,9.21618918365821514e2,ok
lanczos_two_pass,roadNet-CA,faer,csc,13,1.00000000000000004e-10,3.01899601037033142e-11,0.00000000000000000e0,9.21618918365822083e2,ok
lanczos_two_pass,roadNet-CA,faer,csr,13,1.00000000000000004e-10,3.01899601037033142e-11,1.03706158150091481e-15,9.21618918365821742e2,ok
lanczos_two_pass,roadNet-CA,eigen,csr,13,1.00000000000000004e-10,3.01899601037033142e-11,1.22480180053907912e-15,9.21618918365822424e2,ok
lanczos_two_pass,roadNet-CA,eigen,csc,13,1.00000000000000004e-10,3.01899601037033142e-11,9.78425844435236890e-16,9.21618918365822196e2,ok
lanczos_two_pass,roadNet-CA,petsc,csr,13,1.00000000000000004e-10,3.01899601037033142e-11,9.25156593397011420e-16,9.21618918365821855e2,ok
lanczos_two_pass,roadNet-CA,psblas,csr,13,1.00000000000000004e-10,3.01899601037033142e-11,1.09264695806386010e-15,9.21618918365821742e2,ok
lanczos_two_pass,roadNet-CA,psblas,csc,13,1.00000000000000004e-10,3.01899601037033142e-11,1.23435567771650129e-15,9.21618918365821287e2,ok
lanczos_one_pass,delaunay_n22,faer,csc,13,1.00000000000000004e-10,3.45060861880000867e-12,0.00000000000000000e0,1.28607320022113299e3,ok
lanczos_one_pass,delaunay_n22,faer,csr,13,1.00000000000000004e-10,3.45060861880000867e-12,1.26232256625937611e-15,1.28607320022113413e3,ok
lanczos_one_pass,delaunay_n22,eigen,csr,13,1.00000000000000004e-10,3.45060861880000867e-12,1.21118017603406832e-15,1.28607320022113413e3,ok
lanczos_one_pass,delaunay_n22,eigen,csc,13,1.00000000000000004e-10,3.45060861880000867e-12,1.25671925683297469e-15,1.28607320022113390e3,ok
lanczos_one_pass,delaunay_n22,petsc,csr,13,1.00000000000000004e-10,3.45060861880000867e-12,1.38295569773563322e-15,1.28607320022113299e3,ok
lanczos_one_pass,delaunay_n22,psblas,csr,13,1.00000000000000004e-10,3.45060861880000867e-12,1.23928075240539147e-15,1.28607320022113322e3,ok
lanczos_one_pass,delaunay_n22,psblas,csc,13,1.00000000000000004e-10,3.45060861880000867e-12,1.41819718528453006e-15,1.28607320022113458e3,ok
lanczos_two_pass,delaunay_n22,faer,csc,13,1.00000000000000004e-10,3.45060861880000867e-12,0.00000000000000000e0,1.28607320022113299e3,ok
lanczos_two_pass,delaunay_n22,faer,csr,13,1.00000000000000004e-10,3.45060861880000867e-12,1.26231972296630675e-15,1.28607320022113413e3,ok
lanczos_two_pass,delaunay_n22,eigen,csr,13,1.00000000000000004e-10,3.45060861880000867e-12,1.25278768131054509e-15,1.28607320022113436e3,ok
lanczos_two_pass,delaunay_n22,eigen,csc,13,1.00000000000000004e-10,3.45060861880000867e-12,1.22268434385953115e-15,1.28607320022113390e3,ok
lanczos_two_pass,delaunay_n22,petsc,csr,13,1.00000000000000004e-10,3.45060861880000867e-12,1.37426655930617137e-15,1.28607320022113322e3,ok
lanczos_two_pass,delaunay_n22,psblas,csr,13,1.00000000000000004e-10,3.45060861880000867e-12,1.24772232827653857e-15,1.28607320022113322e3,ok
lanczos_two_pass,delaunay_n22,psblas,csc,13,1.00000000000000004e-10,3.45060861880000867e-12,1.38894587764285006e-15,1.28607320022113458e3,ok
lanczos_one_pass,caidaRouterLevel,faer,csc,11,1.00000000000000004e-10,1.45927154704231800e-11,0.00000000000000000e0,2.53056423914902922e2,ok
lanczos_one_pass,caidaRouterLevel,faer,csr,11,1.00000000000000004e-10,1.45927154704231800e-11,9.67925192300147622e-16,2.53056423914902894e2,ok
lanczos_one_pass,caidaRouterLevel,eigen,csr,11,1.00000000000000004e-10,1.45927154704231800e-11,7.49222812991952653e-16,2.53056423914902837e2,ok
lanczos_one_pass,caidaRouterLevel,eigen,csc,11,1.00000000000000004e-10,1.45927154704231800e-11,1.33605236428925590e-15,2.53056423914902609e2,ok
lanczos_one_pass,caidaRouterLevel,petsc,csr,11,1.00000000000000004e-10,1.45927154704231800e-11,1.64997819170557977e-15,2.53056423914902496e2,ok
lanczos_one_pass,caidaRouterLevel,psblas,csr,11,1.00000000000000004e-10,1.45927154704231800e-11,1.90950134147789987e-15,2.53056423914902467e2,ok
lanczos_one_pass,caidaRouterLevel,psblas,csc,11,1.00000000000000004e-10,1.45927154704231800e-11,1.99683827036350576e-15,2.53056423914902382e2,ok
lanczos_two_pass,caidaRouterLevel,faer,csc,11,1.00000000000000004e-10,1.45927154704231800e-11,0.00000000000000000e0,2.53056423914902922e2,ok
lanczos_two_pass,caidaRouterLevel,faer,csr,11,1.00000000000000004e-10,1.45927154704231800e-11,9.67930706072372193e-16,2.53056423914902894e2,ok
lanczos_two_pass,caidaRouterLevel,eigen,csr,11,1.00000000000000004e-10,1.45927154704231800e-11,7.53870693921279190e-16,2.53056423914902837e2,ok
lanczos_two_pass,caidaRouterLevel,eigen,csc,11,1.00000000000000004e-10,1.45927154704231800e-11,1.37346097656407753e-15,2.53056423914902581e2,ok
lanczos_two_pass,caidaRouterLevel,petsc,csr,11,1.00000000000000004e-10,1.45927154704231800e-11,1.33803841753866152e-15,2.53056423914902581e2,ok
lanczos_two_pass,caidaRouterLevel,psblas,csr,11,1.00000000000000004e-10,1.45927154704231800e-11,1.86235565202773989e-15,2.53056423914902467e2,ok
lanczos_two_pass,caidaRouterLevel,psblas,csc,11,1.00000000000000004e-10,1.45927154704231800e-11,2.05248858424982188e-15,2.53056423914902325e2,ok
lanczos_one_pass,citationCiteseer,faer,csc,12,1.00000000000000004e-10,1.35469510427905882e-11,0.00000000000000000e0,2.99913901227511758e2,ok
lanczos_one_pass,citationCiteseer,faer,csr,12,1.00000000000000004e-10,1.35469510427905882e-11,1.47200278883552095e-15,2.99913901227512213e2,ok
lanczos_one_pass,citationCiteseer,eigen,csr,12,1.00000000000000004e-10,1.35469510427905882e-11,8.30554555501915339e-16,2.99913901227511815e2,ok
lanczos_one_pass,citationCiteseer,eigen,csc,12,1.00000000000000004e-10,1.35469510427905882e-11,1.27793269709748781e-15,2.99913901227512042e2,ok
lanczos_one_pass,citationCiteseer,petsc,csr,12,1.00000000000000004e-10,1.35469510427905882e-11,1.28965687662429114e-15,2.99913901227512042e2,ok
lanczos_one_pass,citationCiteseer,psblas,csr,12,1.00000000000000004e-10,1.35469510427905882e-11,1.61383963903528235e-15,2.99913901227512156e2,ok
lanczos_one_pass,citationCiteseer,psblas,csc,12,1.00000000000000004e-10,1.35469510427905882e-11,1.83294619576741634e-15,2.99913901227512270e2,ok
